team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
MSU,2,87,62,891,109
BRY,15,62,87,109,891
DUKE,1,93,49,954,46
MSM,16,49,93,46,954
MSST,8,72,75,570,430
BAY,9,75,72,430,570
ORE,5,81,52,619,381
LIB,12,52,81,381,619
ARIZ,4,93,65,420,580
AKR,13,65,93,580,420
BYU,6,80,71,295,705
VCU,11,71,80,705,295
WIS,3,85,66,730,270
MONT,14,66,85,270,730
SMC,7,59,56,465,535
VAN,10,56,59,535,465
ALA,2,90,81,904,96
RMU,15,81,90,96,904
HOU,1,78,40,998,2
SIUE,16,40,78,2,998
GONZ,8,89,68,880,120
UGA,9,68,89,120,880
CLEM,5,67,69,862,138
MCN,12,69,67,138,862
PUR,4,75,63,573,427
HPU,13,63,75,427,573
ILL,6,86,73,852,148
XAV,11,73,86,148,852
UK,3,76,57,857,143
TROY,14,57,76,143,857
UCLA,7,72,47,770,230
USU,10,47,72,230,770
TENN,2,77,62,787,213
WOF,15,62,77,213,787
FLA,1,95,69,993,7
NORF,16,69,95,7,993
CONN,8,67,59,594,406
OU,9,59,67,406,594
MEM,5,70,78,319,681
CSU,12,78,70,681,319
MD,4,81,49,842,158
GCU,13,49,81,158,842
MIZ,6,57,67,684,316
DRKE,11,67,57,316,684
TTU,3,82,72,865,135
UNCW,14,72,82,135,865
KU,7,72,79,771,229
ARK,10,79,72,229,771
SJU,2,83,53,884,116
OMA,15,53,83,116,884
AUB,1,82,70,400,600
CREI,9,70,82,600,400
MICH,5,91,79,605,395
TA&M,4,79,91,395,605
MISS,6,91,78,686,314
ISU,3,78,91,314,686
UNM,10,63,71,287,713
MSU,2,71,63,713,287
DUKE,1,89,66,753,247
BAY,9,66,89,247,753
ORE,5,83,87,427,573
ARIZ,4,87,83,573,427
BYU,6,91,89,258,742
WIS,3,89,91,742,258
SMC,7,66,80,119,881
ALA,2,80,66,881,119
HOU,1,81,76,288,712
GONZ,8,76,81,712,288
MCN,12,62,76,193,807
PUR,4,76,62,807,193
ILL,6,75,84,557,443
UK,3,84,75,443,557
UCLA,7,58,67,159,841
TENN,2,67,58,841,159
FLA,1,77,75,743,257
CONN,8,75,77,257,743
CSU,12,71,72,211,789
MD,4,72,71,789,211
DRKE,11,64,77,810,190
TTU,3,77,64,190,810
ARK,10,75,66,579,421
SJU,2,66,75,421,579
AUB,1,78,65,662,338
MICH,5,65,78,338,662
MISS,6,70,73,589,411
MSU,2,73,70,411,589
DUKE,1,100,93,583,417
ARIZ,4,93,100,417,583
BYU,6,88,113,32,968
ALA,2,113,88,968,32
HOU,1,62,60,529,471
PUR,4,60,62,471,529
UK,3,65,78,359,641
TENN,2,78,65,641,359
FLA,1,87,71,730,270
MD,4,71,87,270,730
TTU,3,85,83,708,292
ARK,10,83,85,292,708
AUB,1,70,64,515,485
MSU,2,64,70,485,515
DUKE,1,85,65,122,878
