Bracket,Round,Game_ID,Winner,Model_Favorite,Is_Upset
4,1,18,Utah State,Utah State,False
4,1,19,Wisconsin,Wisconsin,False
4,1,20,Arkansas,Arkansas,False
4,1,21,BYU,BYU,False
4,1,22,Gonzaga,Gonzaga,False
4,1,23,Miami,Miami,False
4,1,24,Purdue,Purdue,False
4,1,25,Michigan,Michigan,False
4,1,26,Saint Louis,Saint Louis,False
4,1,27,Texas Tech,Texas Tech,False
4,1,28,Alabama,Alabama,False
4,1,29,Miami-OH,Tennessee,True
4,1,30,Virginia,Virginia,False
4,1,31,Santa Clara,Kentucky,True
4,1,32,Iowa State,Iowa State,False
4,2,33,Ohio State,Duke,True
4,2,34,Kansas,Kansas,False
4,2,35,Michigan State,Michigan State,False
4,2,36,UCLA,UCLA,False
4,2,37,Iowa,Florida,True
4,2,38,Vanderbilt,Vanderbilt,False
4,2,39,Illinois,Illinois,False
4,2,40,Saint Mary's,Saint Mary's,False
4,2,41,Arizona,Arizona,False
4,2,42,Arkansas,Arkansas,False
4,2,43,Gonzaga,Gonzaga,False
4,2,44,Purdue,Purdue,False
4,2,45,Saint Louis,Michigan,True
4,2,46,Texas Tech,Texas Tech,False
4,2,47,Virginia,Virginia,False
4,2,48,Iowa State,Iowa State,False
4,3,49,Ohio State,Kansas,True
4,3,50,UCLA,UCLA,False
4,3,51,Iowa,Vanderbilt,True
4,3,52,Illinois,Illinois,False
4,3,53,Arkansas,Arizona,True
4,3,54,Purdue,Purdue,False
4,3,55,Texas Tech,Texas Tech,False
4,3,56,Virginia,Virginia,False
4,4,57,Ohio State,UCLA,True
4,4,58,Illinois,Illinois,False
4,4,59,Purdue,Purdue,False
4,4,60,Virginia,Texas Tech,True
4,5,61,Illinois,Illinois,False
4,5,62,Purdue,Purdue,False
4,6,63,Purdue,Illinois,True
5,1,1,Duke,Duke,False
5,1,2,Ohio State,Ohio State,False
5,1,3,St. John's,St. John's,False
5,1,4,Kansas,Kansas,False
5,1,5,Louisville,Louisville,False
5,1,6,Michigan State,Michigan State,False
5,1,7,UCF,UCLA,True
5,1,8,Connecticut,Connecticut,False
5,1,9,Florida,Florida,False
5,1,10,Clemson,Clemson,False
5,1,11,Vanderbilt,Vanderbilt,False
5,1,12,Troy,Nebraska,True
5,1,13,VCU,North Carolina,True
5,1,14,Illinois,Illinois,False
5,1,15,Saint Mary's,Saint Mary's,False
5,1,16,Idaho,Houston,True
5,1,17,Arizona,Arizona,False
5,1,18,Utah State,Utah State,False
5,1,19,Wisconsin,Wisconsin,False
5,1,20,Arkansas,Arkansas,False
5,1,21,BYU,BYU,False
5,1,22,Gonzaga,Gonzaga,False
5,1,23,Miami,Miami,False
5,1,24,Purdue,Purdue,False
5,1,25,Michigan,Michigan,False
5,1,26,Georgia,Saint Louis,True
5,1,27,Akron,Texas Tech,True
5,1,28,Alabama,Alabama,False
5,1,29,Tennessee,Tennessee,False
5,1,30,Virginia,Virginia,False
5,1,31,Kentucky,Kentucky,False
5,1,32,Iowa State,Iowa State,False
5,2,33,Ohio State,Duke,True
5,2,34,St. John's,Kansas,True
5,2,35,Louisville,Michigan State,True
5,2,36,Connecticut,Connecticut,False
5,2,37,Florida,Florida,False
5,2,38,Vanderbilt,Vanderbilt,False
5,2,39,Illinois,Illinois,False
5,2,40,Saint Mary's,Saint Mary's,False
5,2,41,Arizona,Arizona,False
5,2,42,Arkansas,Arkansas,False
5,2,43,Gonzaga,Gonzaga,False
5,2,44,Purdue,Purdue,False
5,2,45,Michigan,Michigan,False
5,2,46,Alabama,Alabama,False
5,2,47,Virginia,Virginia,False
5,2,48,Kentucky,Iowa State,True
5,3,49,St. John's,St. John's,False
5,3,50,Connecticut,Connecticut,False
5,3,51,Vanderbilt,Vanderbilt,False
5,3,52,Illinois,Illinois,False
5,3,53,Arkansas,Arizona,True
5,3,54,Purdue,Purdue,False
5,3,55,Michigan,Michigan,False
5,3,56,Virginia,Virginia,False
5,4,57,St. John's,St. John's,False
5,4,58,Illinois,Illinois,False
5,4,59,Purdue,Purdue,False
5,4,60,Michigan,Michigan,False
5,5,61,Illinois,Illinois,False
5,5,62,Purdue,Michigan,True
5,6,63,Illinois,Illinois,False
6,1,1,Duke,Duke,False
6,1,2,TCU,Ohio State,True
6,1,3,St. John's,St. John's,False
6,1,4,California Baptist,Kansas,True
6,1,5,Louisville,Louisville,False
6,1,6,Michigan State,Michigan State,False
6,1,7,UCLA,UCLA,False
6,1,8,Furman,Connecticut,True
6,1,9,Florida,Florida,False
6,1,10,Iowa,Clemson,True
6,1,11,Vanderbilt,Vanderbilt,False
6,1,12,Nebraska,Nebraska,False
6,1,13,VCU,North Carolina,True
6,1,14,Penn,Illinois,True
6,1,15,Saint Mary's,Saint Mary's,False
6,1,16,Houston,Houston,False
6,1,17,Arizona,Arizona,False
6,1,18,Utah State,Utah State,False
6,1,19,Wisconsin,Wisconsin,False
