Team,Seed,Points Scored,Opponent Points,Pred Win Prob,Chalk Win Prob
KU,4,93,89,0.8210455398179685,1.0
SC,6,73,87,0.7388464958371322,1.0
ORE,11,87,73,0.2611535041628677,0.0
AKR,14,60,77,0.03322114922557268,0.0
CREI,3,77,60,0.9667788507744274,1.0
CSU,10,44,56,0.41805724392507565,0.0
TEX,7,56,44,0.5819427560749243,1.0
SPU,15,49,83,0.052759261569018084,0.0
TENN,2,83,49,0.9472407384309819,1.0
NU,9,58,75,0.20182268500006117,0.0
CONN,1,75,58,0.7981773149999388,1.0
YALE,13,57,85,0.4065720214755513,0.0
SDSU,5,85,57,0.5934279785244486,1.0
DUQ,11,63,89,0.06365083184141027,0.0
ILL,3,89,63,0.9363491681585897,1.0
WSU,7,56,67,0.2714943372857165,0.0
ISU,2,67,56,0.7285056627142835,1.0
MSU,9,69,85,0.12653436964186482,0.0
UNC,1,85,69,0.8734656303581353,1.0
GCU,12,61,72,0.14303951497620887,0.0
ALA,4,72,61,0.8569604850237912,1.0
BAY,3,64,72,0.4519657289527681,1.0
CLEM,6,72,64,0.5480342710472319,0.0
DAY,7,68,78,0.2774889468270377,0.0
ARIZ,2,78,68,0.7225110531729623,1.0
TA&M,9,95,100,0.3552977626222542,0.0
HOU,1,100,95,0.6447022373777458,1.0
JMU,12,55,93,0.1314699554238534,0.0
DUKE,4,93,55,0.8685300445761466,1.0
OAK,14,73,79,0.46363997089793285,0.0
NCSU,11,79,73,0.536360029102067,1.0
COLO,10,77,81,0.468650446496759,0.0
MARQ,2,81,77,0.531349553503241,1.0
USU,8,67,106,0.1564581836053644,0.0
PUR,1,106,67,0.8435418163946355,1.0
KU,4,68,89,0.3613543288560106,1.0
GONZ,5,89,68,0.6386456711439894,0.0
ORE,11,73,86,0.14750384170155642,0.0
CREI,3,86,73,0.8524961582984436,1.0
TEX,7,58,62,0.2433482180291437,0.0
TENN,2,62,58,0.7566517819708564,1.0
SDSU,5,52,82,0.15029973590285547,0.0
CONN,1,82,52,0.8497002640971445,1.0
ISU,2,69,72,0.4648947396047318,1.0
ILL,3,72,69,0.5351052603952682,0.0
UNC,1,87,89,0.6902599378810717,1.0
ALA,4,89,87,0.30974006211892835,0.0
ARIZ,2,72,77,0.5743175485292272,1.0
CLEM,6,77,72,0.4256824514707727,0.0
HOU,1,51,54,0.48471131381505367,1.0
DUKE,4,54,51,0.5152886861849463,0.0
MARQ,2,58,67,0.6593374369205602,1.0
NCSU,11,67,58,0.3406625630794398,0.0
GONZ,5,68,80,0.4519655971043362,0.0
PUR,1,80,68,0.5480344028956639,1.0
CREI,3,75,82,0.7014167781667927,0.0
TENN,2,82,75,0.29858322183320735,1.0
ILL,3,52,77,0.4350166142197472,0.0
CONN,1,77,52,0.5649833857802528,1.0
CLEM,6,82,89,0.44610838906328376,0.0
ALA,4,89,82,0.5538916109367162,1.0
DUKE,4,64,76,0.8129312866026244,1.0
NCSU,11,76,64,0.18706871339737557,0.0
TENN,2,66,72,0.40236141792747737,0.0
PUR,1,72,66,0.5976385820725226,1.0
ALA,4,72,86,0.3504923028440758,0.0
CONN,1,86,72,0.6495076971559242,1.0
NCSU,11,63,50,0.13747510994300255,0.0
PUR,1,50,63,0.8625248900569975,1.0
CONN,1,75,60,0.5630105651709556,0.5
PUR,1,60,75,0.43698943482904445,0.5
ALST,16,70,68,0.292044640924873,0.5
SFPA,16,68,70,0.707955359075127,0.5
TEX,11,80,86,0.46829353664941364,0.5
XAV,11,86,80,0.5317064633505864,0.5
AMER,16,72,83,0.586451921256607,0.5
MSM,16,83,72,0.41354807874339305,0.5
SDSU,11,68,95,0.1645461649439059,0.5
UNC,11,95,68,0.835453835056094,0.5
AUB,1,83,63,0.9741823004092711,1.0
ALST,16,63,83,0.025817699590728927,0.0
LOU,8,75,89,0.3499506564395258,1.0
CREI,9,89,75,0.6500493435604743,0.0
MICH,5,68,65,0.7425462199597891,1.0
UCSD,12,65,68,0.25745378004021097,0.0
TA&M,4,80,71,0.3560917479383225,1.0
YALE,13,71,80,0.6439082520616776,0.0
MISS,6,71,64,0.6674996881827292,1.0
UNC,11,64,71,0.33250031181727074,0.0
ISU,3,82,55,0.6600851996527833,1.0
LIP,14,55,82,0.3399148003472166,0.0
MARQ,7,66,75,0.7449011209556383,1.0
UNM,10,75,66,0.25509887904436174,0.0
MSU,2,87,62,0.9604434790497316,1.0
BRY,15,62,87,0.039556520950268355,0.0
DUKE,1,93,49,0.9799764583390989,1.0
MSM,16,49,93,0.02002354166090109,0.0
MSST,8,72,75,0.5248019839625031,1.0
BAY,9,75,72,0.4751980160374968,0.0
ORE,5,81,52,0.7577501648872402,1.0
LIB,12,52,81,0.24224983511275974,0.0
ARIZ,4,93,65,0.7961893209159269,1.0
AKR,13,65,93,0.20381067908407313,0.0
BYU,6,80,71,0.569566043102758,1.0
VCU,11,71,80,0.43043395689724206,0.0
WIS,3,85,66,0.9267482996422397,1.0
MONT,14,66,85,0.07325170035776028,0.0
SMC,7,59,56,0.7686415736465259,1.0
VAN,10,56,59,0.23135842635347414,0.0
ALA,2,90,81,0.9329938834199925,1.0
RMU,15,81,90,0.06700611658000756,0.0
HOU,1,78,40,0.9860646279923613,1.0
SIUE,16,40,78,0.013935372007638658,0.0
GONZ,8,89,68,0.9262842490920514,1.0
UGA,9,68,89,0.07371575090794853,0.0
CLEM,5,67,69,0.8934787677700813,1.0
MCN,12,69,67,0.10652123222991865,0.0
PUR,4,75,63,0.7140529099297833,1.0
HPU,13,63,75,0.28594709007021674,0.0
ILL,6,86,73,0.7467963882136971,1.0
XAV,11,73,86,0.2532036117863028,0.0
UK,3,76,57,0.9610751530175626,1.0
TROY,14,57,76,0.03892484698243742,0.0
UCLA,7,72,47,0.6815892718856793,1.0
USU,10,47,72,0.31841072811432064,0.0
TENN,2,77,62,0.9539295471545159,1.0
WOF,15,62,77,0.04607045284548401,0.0
FLA,1,95,69,0.9559673239330185,1.0
NORF,16,69,95,0.0440326760669815,0.0
CONN,8,67,59,0.6659813959297596,1.0
