SEED,SEED_DIFF,MC_WIN_PROB,MC_WIN_MARGIN,PROJECTED_POSSESSIONS,FT_RATE_DIFF,3PT_RATE_DIFF,WIN
5,-7,0.304,-392,67.55802502263677,-0.14310969696969697,0.0035975757575757994,0
12,7,0.696,392,67.55802502263677,0.14310969696969697,-0.0035975757575757994,1
13,9,0.383,-234,72.6532912921945,-0.07500767997730334,0.006089373714447954,0
4,-9,0.617,234,72.6532912921945,0.07500767997730334,-0.006089373714447954,1
11,5,0.324,-352,70.77623709329312,-0.0048468570657771715,-0.09399397900622936,0
6,-5,0.676,352,70.77623709329312,0.0048468570657771715,0.09399397900622936,1
14,11,0.117,-766,65.28146201405025,-0.10274762211256519,-0.0044913108774941035,0
3,-11,0.883,766,65.28146201405025,0.10274762211256519,0.0044913108774941035,1
10,3,0.344,-312,63.786418462319034,0.04758301158301159,-0.10528249678249674,0
7,-3,0.656,312,63.786418462319034,-0.04758301158301159,0.10528249678249674,1
15,13,0.265,-470,72.29129416856563,0.009645484949832694,-0.050337792642140555,0
2,-13,0.735,470,72.29129416856563,-0.009645484949832694,0.050337792642140555,1
16,15,0.171,-658,66.62161076892986,0.057029904951056865,-0.07995776705915736,0
1,-15,0.829,658,66.62161076892986,-0.057029904951056865,0.07995776705915736,1
8,-1,0.367,-266,72.1679490146834,-0.02581003542598287,0.06659440153319018,0
9,1,0.633,266,72.1679490146834,0.02581003542598287,-0.06659440153319018,1
5,-7,0.685,370,70.02637366162281,0.015013308636023376,-0.023009883152966926,0
12,7,0.315,-370,70.02637366162281,-0.015013308636023376,0.023009883152966926,1
13,9,0.301,-398,63.24363105060405,-0.043642917519507635,0.0691530153895592,0
4,-9,0.699,398,63.24363105060405,0.043642917519507635,-0.0691530153895592,1
6,-5,0.61,220,68.5806131507201,0.03077895576835385,0.07835145918832653,0
11,5,0.39,-220,68.5806131507201,-0.03077895576835385,-0.07835145918832653,1
3,-11,0.507,14,71.24912250997716,0.004602827392661435,-0.03867936108269715,0
14,11,0.493,-14,71.24912250997716,-0.004602827392661435,0.03867936108269715,1
7,-3,0.642,284,72.14063780098435,-0.0026308747795206755,0.03950726475810684,0
10,3,0.358,-284,72.14063780098435,0.0026308747795206755,-0.03950726475810684,1
15,13,0.339,-322,70.86353529222093,0.05735652733871907,-0.08906475822503235,0
2,-13,0.661,322,70.86353529222093,-0.05735652733871907,0.08906475822503235,1
16,15,0.291,-418,66.89403823369014,-0.02479898638694089,-0.06726595556603221,0
1,-15,0.709,418,66.89403823369014,0.02479898638694089,0.06726595556603221,1
9,1,0.686,372,70.96324772916074,-0.021588104658741003,-0.031184202967040053,0
8,-1,0.314,-372,70.96324772916074,0.021588104658741003,0.031184202967040053,1
12,7,0.345,-310,66.14630125925976,0.038675174825174824,0.02303229895104897,0
5,-7,0.655,310,66.14630125925976,-0.038675174825174824,-0.02303229895104897,1
13,9,0.811,622,71.44599378438846,0.025306646707465602,0.11395663570055325,0
4,-9,0.189,-622,71.44599378438846,-0.025306646707465602,-0.11395663570055325,1
6,-5,0.584,168,68.40995400868465,-0.0038702620235036844,0.04816468403894725,0
11,5,0.416,-168,68.40995400868465,0.0038702620235036844,-0.04816468403894725,1
14,11,0.094,-812,66.39638586706167,0.03512874002769176,-0.05778751236236562,0
3,-11,0.906,812,66.39638586706167,-0.03512874002769176,0.05778751236236562,1
10,3,0.465,-70,65.83608624484334,0.008638706221120979,0.03795305029130108,0
7,-3,0.535,70,65.83608624484334,-0.008638706221120979,-0.03795305029130108,1
15,13,0.277,-446,65.50851148301194,0.025270912034538573,-0.08818969239071778,0
