team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
TTU,3,77,64,510,490
ARK,10,75,66,388,612
SJU,2,66,75,612,388
AUB,1,78,65,518,482
MICH,5,65,78,482,518
MISS,6,70,73,555,445
MSU,2,73,70,445,555
DUKE,1,100,93,556,444
ARIZ,4,93,100,444,556
BYU,6,88,113,136,864
ALA,2,113,88,864,136
HOU,1,62,60,588,412
PUR,4,60,62,412,588
UK,3,65,78,400,600
TENN,2,78,65,600,400
FLA,1,87,71,622,378
MD,4,71,87,378,622
TTU,3,85,83,732,268
ARK,10,83,85,268,732
AUB,1,70,64,518,482
MSU,2,64,70,482,518
DUKE,1,85,65,234,766
ALA,2,65,85,766,234
HOU,1,69,50,316,684
TENN,2,50,69,684,316
FLA,1,84,79,575,425
TTU,3,79,84,425,575
AUB,1,73,79,282,718
FLA,1,79,73,718,282
DUKE,1,67,70,451,549
HOU,1,70,67,549,451
FLA,1,65,63,575,425
HOU,1,63,65,425,575
